Name,Product Price,Product URL,Rating,No. of Reviews,ASIN,Item Weight,Manufacturer,Model Number,Quantity,Generic Name,Description
"Arctic Hunter Backpack,Original 41L Expandable Laptop Bag Business Travel Backpack with 17 inch Laptop Pocket 3 in 1 Convertible Laptop Backpack Tech Bag with USB Charging Port Water-resistant Multiple Compartments Large Capacity Bag for Men Women Travel Business College","3,419",https://amazon.in/Adjustable-Backpack-Charging-Resistant-Bussiness/dp/B084NZFNGS,4.5 out of 5 stars,490,B084NZFNGS,N/A,N/A,N/A,N/A,N/A,N/A
Wooum Anti Theft Laptop Bag - Backpack For Laptop and Tablet of 15.6 Inch Thick Padded Compartment - Light Weight - Water Resistance – Anti Theft (Black),474,https://amazon.in/Wooum-Anti-Theft-Laptop-Bag/dp/B0BYP7SJ4Q,4.8 out of 5 stars,7,B0BYP7SJ4Q,450 g,Wooum,1873,1.00 count,N/A,N/A
"Arctic Hunter Backpack,Original 41L Expandable Laptop Bag Business Travel Backpack with 17 inch Laptop Pocket 3 in 1 Convertible Laptop Backpack Tech Bag with USB Charging Port Water-resistant Multiple Compartments Large Capacity Bag for Men Women Travel Business College","3,419",https://amazon.in/Adjustable-Backpack-Charging-Resistant-Bussiness/dp/B084NZFNGS,4.5 out of 5 stars,490,B084NZFNGS,1 kg 360 g,ah arctic hunter,B00227L-Black,N/A,N/A,N/A
"WALKENT Premium 15.6 Inch Large Laptop Bag , Vegan Leather, Waterproof, External USB, Trolley Strap, Cushioned Strap, Scratch Resistant for Men, Women - Ritzy (Large, 28 Ltr, 1 Main Compartment & 7 Pockets)","2,990",https://amazon.in/Ritzy-Waterproof-Hi-Quality-External-Resistant/dp/B09Q172X7J,4.3 out of 5 stars,100,B09Q172X7J,1 kg 30 g,Walkent,Ritzy,1.00 count,Backpack,Introducing the 
"GENIE Miami Casual Backpacks for Women, 14 inch, Stylish and Trendy College backpacks for girls, Water Resistant and Lightweight Mini Bags Latest collection (Rose)",846,https://amazon.in/Genie-Miami-litres-Casual-Backpack/dp/B07SRGQ2R4,4.2 out of 5 stars,"2,126",B07SRGQ2R4,300 g,Safari,MIAMI14CBROS,N/A,Casual Backpack,"Bring your A game with the Genie Miami Midnight backpack. A perfect fusion of prints, structure and design, this backpack is feather light and fully lined for extra strength. It has a spacious compartment with a zipper opening and a side pocket for easy access."
"MOKOBARA The Work Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women","7,499",https://amazon.in/Mokobara-Backpack-Leather-Resistant-Laptop/dp/B0B7X81X69,4.5 out of 5 stars,51,B0B7X81X69,1 kg 840 g,Designed By Mokobara Lifestyle Private Limited,AllWork,1.00 count,N/A,N/A
"Nishi Medium Kids Backpack Waterproof Backpack, Girls & Women Stylish Trendy College, School & College Bag Black",369,https://amazon.in/Nishi-Backpack-Waterproof-Stylish-College/dp/B0BR9W54MW,3.3 out of 5 stars,24,B0BR9W54MW,399 g,N/A,AE3,N/A,N/A,N/A
"F Gear Blow Laptop Backpack With Rain Cover 32 Liters (Red,Grey) Sch Bag","1,014",https://amazon.in/F-Gear-Blow-Laptop-Backpack-Red/dp/B0749MPCFT,4.4 out of 5 stars,285,B0749MPCFT,890 g,F Gear,Uber01030,1 count,Laptop Backpack,"Well if you are looking for a big bag which is also very Stylish, Durable, Waterproof with a Laptop in built sleeve then your search ends here. Yes you Got it Right!, This F Gear bag has three big compartments to boast of along with a huge horizontal pocket in the front and two bottle holders on both sides of the bag. It has an inbuilt Rain cover neatly tucked away in a concealed pocket along with Reflective Strips and Reflective Printing makes it a natural choice for rainy Season. Support at the base makes it suitable for rough/dirty terrains. Padded Shoulders and Back with Side Compression straps completes the picture. Comes with the F Gear promise for quality."
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Tan,990,https://amazon.in/Classic-Leather-Laptop-Backpack-LBPCLSLTH1901/dp/B07G4CYC74,4.4 out of 5 stars,"2,419",B07G4CYC74,558 g,Gear Merchandise PVT LTD,LBPCLSLTH1901,1 count,Bag,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements."
Gear Moderneco5 21L Water Resistant School Bag/Backpack/College Bag For Men/Women - Navyblue,420,https://amazon.in/Gear-Ltrs-Casual-Backpack-MDBKPECO50504/dp/B0757K36YV,3.9 out of 5 stars,"2,603",B0757K36YV,280 g,Gear Merchandise PVT LTD,MDBKPECO50504,1 count,Bag,"One wide access main compartment, one additional front pocket and one bottle pocket. Easily Adjustable padded shoulder straps with anti-sweat fabric underneath."
"Storite Stylish Multi-Pocket Small Sling Cross Body Travel Messenger One Side Shoulder Bag for Men & Women (Brown, 20.5x9x16.5cm)",798,https://amazon.in/Storite-Leather-Sling-Bag-Brown/dp/B08TR8RMNH,4.0 out of 5 stars,864,B08TR8RMNH,490 g,SaiTech IT Private Limited,PU Leather Mini Sling Bag Brown,1.00 count,N/A,N/A
Gear Bounce 27 Ltrs Water Resistant School Bag/Backpack/College Bag for Men/Women-Grey Orange,634,https://amazon.in/Gear-Bounce-Backpack-Grey-Orange-BKPBOUNCE0604/dp/B097KCLF5F,3.6 out of 5 stars,422,B097KCLF5F,400 g,Gear,BKPBOUNCE0604,N/A,Casual Backpack,"Gear bags are designed for the quick commute as well for the long journey. These backpacks can be used as laptop bags, adventure bags and so on. Your favorite travel companion, the backpacks come with enough storage space to carry all your requirements."
"Safari Seek 32 Ltrs Overnighter Travel Laptop Backpack (Blue), Water Resistant Spacious Bag for Travelling and Camping, All-Purpose Bag for Business & Leisure","1,899",https://amazon.in/Safari-Overnighter-Resistant-Travelling-All-Purpose/dp/B097JM98M1,4.3 out of 5 stars,113,B097JM98M1,920 g,Safari,SEEK35L21OBBLU,1 Count,BACKPACK,"Seek 32L is a compact offering from Safari's overnighter laptop backpack ranges. Equipped with a unique offering of luggage-like opening (or book opening), this bag is perfect to meet ALL your travel needs - Work or Adventure Leisure! Made out of water-resistant fabric & front panel design, it serves as a highly elegant look. On the inside, cross packing straps are provided to help organise your packing. With a 17"" laptop and a tablet compatibility compartment Seek 32 has a total capacity of 32 liters, provided with compression straps and breathable back mesh that prevents the back of the backpack from overheating. Go ahead and add this friendly Seek overnighter backpack to your travel collection, whether it be for a short business trip or a weekend getaway!"
"F Gear Blow Laptop Backpack With Rain Cover 32 Liters (Black,Grey) Sch Bag","1,099",https://amazon.in/F-Gear-Blow-Laptop-Backpack/dp/B078J63VRY,4.3 out of 5 stars,"1,276",B078J63VRY,730 g,Uber Fashion Merchandise Pvt. Ltd.,Uber01030,1 count,Laptop Backpack,"Well if you are looking for a big bag which is also very Stylish, Durable, Waterproof with a Laptop in built sleeve then your search ends here. Yes you Got it Right!, This F Gear bag has three big compartments to boast of along with a huge horizontal pocket in the front and two bottle holders on both sides of the bag. It has an inbuilt Rain cover neatly tucked away in a concealed pocket along with Reflective Strips and Reflective Printing makes it a natural choice for rainy Season. Support at the base makes it suitable for rough/dirty terrains. Padded Shoulders and Back with Side Compression straps completes the picture. Comes with the F Gear promise for quality."
Aristrocrat Unisex Laptop Bag Grey,799,https://amazon.in/Aristocrat-Zeal-Unisex-Grey-Laptop/dp/B0B5YHC1W5,4.4 out of 5 stars,24,B0B5YHC1W5,525 g,"VIP Industries Ltd. DGP House, 5th Floor, 88C Old Prabhadevi Road, Mumbai 400025",BPZEALEGRY,N/A,Laptop Backpacks,"Stylish, Secure feature packed Laptop backpack Spacious Compartment Laptop Compatible Front Quick Access Pocket Power Bank Pocket Padded Grab Handle Shoulder strap re-enforcement"
Half Moon Valex Unisex School Bag/Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men & Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment,549,https://amazon.in/Half-Moon-Laptop-Bag-Compartment/dp/B0C1NZLF67,4.6 out of 5 stars,15,B0C1NZLF67,N/A,N/A,N/A,N/A,N/A,N/A
Gear DOUBLE DECKER 31L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women (Navy-Tan),"2,021",https://amazon.in/Gear-DOUBLE-Resistant-Backpack-Navy-Tan/dp/B0BTJ2T26W,4.0 out of 5 stars,1,B0BTJ2T26W,650 g,Gear Merchandise Pvt Ltd,LBPCBLDKR0519,N/A,"BAGS, BACKPACK,LAPTOP BACKPACK",Each Gear Bag is born in our in-house design & prototyping studio & characterises a recognisable aesthetic & functionality
F Gear Milestone Olive Casual 20 Ltrs Laptop Backpack (3376),"1,071",https://amazon.in/F-Gear-Milestone-Casual-Laptop-Backpack/dp/B08FX1R6WY,4.0 out of 5 stars,745,B08FX1R6WY,870 g,Uber Fashion Merchandise Pvt Ltd,3376,N/A,Laptop Backpack,F Gear Milestone Olive Casual 20 Ltrs Laptop Backpack (3376)
NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,568,https://amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3SPN16,3.9 out of 5 stars,742,B0BL3SPN16,499 g,Northzone,DINY01,1.00 count,N/A,"If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily."
Priority ARC 56 cm Red Polyester 2 Wheel Duffle Trolley Bag | Travel Luggage for Men & Women,411,https://amazon.in/Priority-ARC-Red-Polyester-Trolley/dp/B08HHD4T6W,4.0 out of 5 stars,289,B08HHD4T6W,1 kg 600 g,High Spirit Commercial Ventures Pvt Ltd. Contact No.: 7700910835,"ARC 22"" Red",1 unit,Travel Duffle,"Priority duffle bag uses high density fabric materials to devise bags in lightweight, durable and fashionable style. We use highest quality fabric that's water resistant. The inner lining fabric is ensured to have a soft touch feel with high quality zipper. The long adjustable shoulder strap increases the ease on your shoulders. With this unisex duffle bag, you can pack all your belongings using the multiple compartments and pockets. Travel comfortably and fashionably with our #made in India bag."
ADISA Light Weight Laptop Backpack 32 Ltrs,499,https://amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07D8ZLTT9,4.0 out of 5 stars,"5,860",B07D8ZLTT9,430 g,ADISA,BP005,1.00 Unit,Laptop backpack,N/A
ASTRID Women's 17'' Black and White Textured Laptop Bag With Accessory Pouch,999,https://amazon.in/ASTRID-Black-Textured-Laptop-Accessory/dp/B09Z2G37YY,4.1 out of 5 stars,113,B09Z2G37YY,910 g,"Saav Tex Private Limited , Kundli, Sonipat (Haryana)",ASTD0398_X,1.00 count,N/A,N/A
"SKYTONE 12cms Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer (L_Pink)",749,https://amazon.in/SKYTONE-Cosmetic-Bag-Cosmetics-Organizer/dp/B0BV358QKF,3.9 out of 5 stars,136,B0BV358QKF,100 g,SKYTONE,Open Flat Cosmetic Bag,1.00 count,Travel Accessory- Cosmetic Bag,N/A
"Bennett 15.6 inch Laptop Bag Men/Women, 25 L Water Resistant School/College Backpack with Padded Laptop Compartment for Apple/Dell/Lenovo/Asus/Hp/Mi/MacBook/Ultrabook/Thinkpad/Ideapad (Blue)",512,https://amazon.in/Bennett-15-6-inch-Repellent-Backpack-ben_cas_blue/dp/B09WZKB54G,3.9 out of 5 stars,573,B09WZKB54G,‎459 g,"‎Texcoco Enterprises, 9958166528, Texcoco Enterprises, 9958166528",‎ben_cas_blue,1 Count,Laptop Backpack,N/A
"Puma Unisex-Adult Big Cat Backpack, Fizzy Apple (9018404)",999,https://amazon.in/Puma-Unisex-Adult-Backpack-Fizzy-9018404/dp/B0BWF2BNBP,N/A,N/A,B0BWF2BNBP,200 g,Puma,9018404,1 Count,Backpack,PUMA Big Cat Laptop Backpack
ASTRID Women's 17'' Black and White Textured Laptop Bag With Accessory Pouch,999,https://amazon.in/ASTRID-Black-Textured-Laptop-Accessory/dp/B09Z2G37YY,4.1 out of 5 stars,113,B09Z2G37YY,910 g,"Saav Tex Private Limited , Kundli, Sonipat (Haryana)",ASTD0398_X,1.00 count,N/A,N/A
F Gear Millionaire Doby 36 Ltrs Black Laptop Backpack (3201),"1,049",https://amazon.in/F-Gear-Millionaire-Doby-Black-Laptop-Backpack/dp/B07XMLCYTH,4.1 out of 5 stars,35,B07XMLCYTH,950 g,Uber Fashion Merchandise Pvt. Ltd.,3201,1 count,Laptop Backpack,"This F Gear Millionaire laptop backpack is designed with USB charging port that offers the convenience of charging your mobile on the go and Reflective printing along with inbuilt rain cover in a concealed pocket makes it most adapted for rainy conditions. This amazingly designed backpack has a hidden security pocket at the back which makes you far away from theft and protects your wallet, phone and other valuables. Apart from this there are also 2 huge compartments with laptop sleeve and tab sleeves, 3 pockets at the front with detailed organizer and interior two zip pockets and two side mesh bottle holders. Large capacity multi-compartment bag - Featuring a judicial selection of style and functionality, the offered backpack has multiple storage compartments which can be used for hassle-free and organized storage of laptops, tab, mobile phone, charger, clothes, pens, keys, bottles, books, documents, umbrella, etc. Carry anywhere, everywhere - no matter whether you count yourself among school or college-going youth or a daily commuter, this amazingly designed backpack is convenient for business, College, weekend getaways, travelling and all sorts of outdoor activities. Air mesh padding at the back panel and shoulder straps for utmost comfort. It provides the perfect amount of space for all your weekend essentials."
"F Gear Fortune Navy Blue, Red 27 Liters Laptop Backpack (2700)",884,https://amazon.in/F-Gear-Fortune-Backpack-Navy-Blue/dp/B07B7K7212,4.1 out of 5 stars,497,B07B7K7212,790 g,Uber Fashion Merchandise Pvt. Ltd.,Uber01023,1 count,Casual Backpack,"Well if you are looking for a backpack which is sleek, fashionable and can also be used as a trekking bag your search ends here. fortune from f gear can be used either as an everyday backpack or a small sized trekking bag. it has one huge compartment with a laptop sleeve. this can be used for books, clothes or any bulky items. apart from this there is one more compartment and two big pockets with organizer. it has two bottle holders, two finger loops and chest straps for comfort wearing. dual loops for holding ice axes present. padded shoulder straps and padded back add to it. side compressor straps maintain the sleek look of a fully filled bag. you definitely will love using this bag. comes with the f gear promise of quality."
POLICE Walt Laptop Backpack Business Office College Travel Bags for Men Fits Up to 15 inch Laptop Notebook - Black,"1,689",https://amazon.in/POLICE-Stylish-Premium-Quality-Backpack/dp/B084Q4N84P,4.1 out of 5 stars,647,B084Q4N84P,120 g,Torero Corporation Pvt Ltd,PTO3902705_5-1,N/A,N/A,N/A
"Genie Flamenco Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",840,https://amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF1XJXY,4.4 out of 5 stars,"2,993",B08YF1XJXY,350 g,Safari,FLAMENCO214CBSBL,N/A,Backpack,N/A
"Pqwata Gym Bag, Travel Bag Sport Duffel Bag, Large Capacity Portable Foldable, Carry Luggage Bag for Weekender Sports, Vacation for Men Women (Multy Colour)",799,https://amazon.in/Pqwata-Capacity-Portable-Foldable-Weekender/dp/B09YRZ3TLY,4.5 out of 5 stars,10,B09YRZ3TLY,400 g,N/A,HV-985,1.00 count,Luggage- Garment Bag,"Our gym bags are waterproof, wear-resistant, soft and durable, which can help you easily store clothes, toiletries and shoes, making your travel ."
Wooum Water Resistant Material Sling Bag/One Side Bag/Shoulder Bag/Messenger Bag/Office Messenger Bag/Travel Side Bag with 14.1 Inch Laptop Compartment -,474,https://amazon.in/Wooum-Resistant-Material-Messenger-Compartment/dp/B09KV7Y3KL,4.0 out of 5 stars,261,B09KV7Y3KL,N/A,Wooum,1573,1.00 count,N/A,Wooum Water Resistant Material Sling Bag / One Side Bag / Shoulder Bag / Messenger Bag / Office Messenger Bag / Travel Side Bag with 14.1 Inch Laptop Compartment -
"Amazon Brand - Solimo Rain & Dust Cover for Backpack (30 Litres, Black)",209,https://amazon.in/Amazon-Brand-Solimo-Backpack-litres/dp/B07FQMN9VN,4.2 out of 5 stars,"8,468",B07FQMN9VN,99 g,Flab International Pvt. Ltd.,Sol_Lgge_116,1 count,Backpack cover,"Solimo Backpack cover is made from 100% waterproof material to provide all-round protection against rain. The cover is ideal for use during treks and everyday commuting, particularly in monsoon."
Gear ECO1 24L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women- Grey-Black-Yellow,852,https://amazon.in/Gear-Polyester-Laptop-Backpack-LBPECONO10412/dp/B012NW0J30,4.2 out of 5 stars,"1,443",B012NW0J30,560 g,Gear Merchandise PVT LTD,LBPECONO10412,1 count,Bag,Three main compartments one front smaller compartment bottle holder mesh embedded organizer heavily padded sleeve which fits laptop padded grab handle.
Gear ECO 1 Black Orange Red Laptop Backpack,799,https://amazon.in/Gear-Polyester-Laptop-Backpack-LBPECO1000109/dp/B012NW1H1I,4.3 out of 5 stars,"1,379",B012NW1H1I,520 g,Gear,LBPECO1000109,1 count,Bag,N/A
Lino Perros Women Shoulder Bag,937,https://amazon.in/Lino-Perros-yellow-shoulder-WHITE/dp/B09MRY9BQ7,4.2 out of 5 stars,334,B09MRY9BQ7,200 g,"SUMITSU APPAREL PVT. LTD, Plot No. 324, Phase IV, Sector 18, Gurugram, Haryana",LWHB02506,1.00 count,Handbag,N/A
30 L Waterproof Laptop/College/School/Office Bag Backpack for Men Women Boys Girls with Rain Cover (Navy_Blue),499,https://amazon.in/Waterproof-Laptop-College-Backpack-Navy_Blue/dp/B0BW9GWPYH,5.0 out of 5 stars,1,B0BW9GWPYH,N/A,N/A,AMERICAN,N/A,N/A,"A sporty versatile Backpack from Northzone. It has a top opening compartment for quick & easy access to essentials while the mesh padding on the back panel will feel comfortable, even on a hot day. This backpack can be carried in 2 ways as it has an additional front handle to hold it in case you’re unable to carry it on your back."
30 L Waterproof Laptop/College/School/Office Bag Backpack for Men Women Boys Girls with Rain Cover (Navy_Blue),499,https://amazon.in/Waterproof-Laptop-College-Backpack-Navy_Blue/dp/B0BW9GWPYH,5.0 out of 5 stars,1,B0BW9GWPYH,N/A,N/A,AMERICAN,N/A,N/A,"A sporty versatile Backpack from Northzone. It has a top opening compartment for quick & easy access to essentials while the mesh padding on the back panel will feel comfortable, even on a hot day. This backpack can be carried in 2 ways as it has an additional front handle to hold it in case you’re unable to carry it on your back."
"Storite Nylon 40 Cm Imported Travel Duffle Bag, Expandable Folding Travel Bag for Women, Lightweight Waterproof Carry Weekender Overnight Luggage Bag for Travel (Pink, 40 x 23 x 45 Cm)",998,https://amazon.in/Storite-Travel-Bag-Lightweight-Waterproof/dp/B0B24Z8KBV,4.1 out of 5 stars,653,B0B24Z8KBV,500 g,"NISUN INC., B-201, Greenfield 4+, Vadodara, Gujarat-391410 Email: sales@nisun.in, Phone: 63527-67213",Travel Duffel Bag Blue,1.00 count,N/A,N/A
"URBAN TRIBE Havana Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Black, 27L",999,https://amazon.in/Urban-Tribe-Laptop-Backpack-Havana/dp/B01LXNNFDF,3.9 out of 5 stars,755,B01LXNNFDF,500 g,BACKPACK INTERNATIONAL PVT LTD.,Havana,1.00 count,Backpacks,N/A
"The Purple Tree Fatty Tote Bag For Women, Women Fatty Tote Bag, Handbag, Women Handbag, Women Bag, Handbag for Women, Women's Tote, Gift For Women A",599,https://amazon.in/Purple-Tree-Fatty-Handbag-Womens/dp/B09PQNK66Z,4.1 out of 5 stars,373,B09PQNK66Z,270 g,N/A,FATTYTOTE00030,1.00 count,N/A,HANDBAG
MI Business Casual 21L Water Resistant Laptop Backpack,999,https://amazon.in/Mi-Business-Casual-Resistant-Backpack/dp/B07YY6PTMN,4.4 out of 5 stars,"4,403",B07YY6PTMN,500 g,Korrun India Pvt. Ltd,Business Casual,1 Unit,Backpack,N/A
AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,699,https://amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79,4.2 out of 5 stars,533,B09W4VMZ79,N/A,N/A,N/A,N/A,N/A,N/A
Martucci Jersey 45L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,809,https://amazon.in/Martucci-Waterproof-Backpack-College-Business/dp/B0BRJRVH6D,3.7 out of 5 stars,47,B0BRJRVH6D,350 g,Martucci,45L-Jersey-Airport Blue,1.00 count,N/A,N/A
Fostelo Handbag For Women And Girls | Ladies Purse Faux Leather Satchel Bag | Wedding Gifts For Women | Women 3 Compartments Bag | Travel Purse Hobo Bag | 5 Pockets Shoulder Bag,669,https://amazon.in/Fostelo-CATLIN-Womens-Handbag-Maroon/dp/B079MD5F7R,4.1 out of 5 stars,"9,303",B079MD5F7R,550 g,Fostelo,FSB-1690,1.00 count,Handbag,Handbags
Wooum Sling Cross Body Bag/One Side Bag/Shoulder Bag/Office Business Messenger Bag/Money Bag for Men and Women - Water Resisitance,328,https://amazon.in/Wooum-Resisitance-Shoulder-Business-Messenger/dp/B0993Q72WD,4.0 out of 5 stars,660,B0993Q72WD,N/A,N/A,N/A,N/A,N/A,N/A
"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,600",https://amazon.in/uppercase-Backpack-2300EBP1-repellent-sustainable/dp/B0B69M182Q,4.1 out of 5 stars,440,B0B69M182Q,502 g,Acefour Accessories Pvt. Ltd.,2300EBP1BLU,1.00 count,N/A,N/A
"YASH Bag for Boys and Girls Blue Color, 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag","29,499",https://amazon.in/Casual-Waterproof-Laptop-Backpack-College/dp/B0C3XG81XS,N/A,N/A,B0C3XG81XS,340 g,N/A,N/A,5.00 count,N/A,"Spacious zippered compartments This casual backpack comes with two spacious zippered compartments which can accommodate your notebooks & Laptop and other essentials with ease. Store your umbrella, notebooks and water bottle in this spacious bag and move around comfortably all day. college to picnic, to a casual outing to camping and short trips, this bag can be your great companion everywhere. Pack your bags and ready, steady go. Spacious zippered compartments This casual backpack comes with two spacious zippered compartments which can accommodate your notebooks & Laptop and other essentials with ease. Store your umbrella, notebooks and water bottle in this spacious bag and move around comfortably all day. college to picnic, to a casual outing to camping and short trips, this bag can be your great companion everywhere. Pack your bags and ready, steady go."
"House of Quirk Clear Toiletry Bag, Wash Make Up Bag PVC Waterproof Zippered Cosmetic Bag, Portable Carry Pouch for Women Men (Set of 3 Bag Black)",475,https://amazon.in/House-Quirk-Toiletry-Waterproof-Zippered/dp/B09G364GX5,4.4 out of 5 stars,515,B09G364GX5,170 g,House of Quirk,WASHBAG_L_BLACK,1.00 count,N/A,N/A
Wildcraft 29.5 Ltrs Green Casual Backpack (11650-Green),999,https://amazon.in/Wildcraft-Green-Casual-Backpack-11650-Green/dp/B079DV66TY,4.1 out of 5 stars,355,B079DV66TY,400 g,Wildcraft,11650-Green,N/A,Casual Backpack,"Two compartments for better organisation, quick-grab haul loop, side pocket for carrying a bottle, padded back system for better back support, padded shoulder straps for comfort and ease of carrying."
WildHorn® Leather 8.5 inch Sling Messenger Bag for Men I Multipurpose Crossbody Bag I Travel Bag with Adjustable Strap I DIMENSION: L- 8.5inch H- 10.5inch W- 3inch,"2,199",https://amazon.in/WildHorn-Leather-Messenger-MB205-Hunter/dp/B0795WK59N,4.1 out of 5 stars,747,B0795WK59N,400 g,ADL International,MB205 BROWN HUNTER,1 count,LEATHER BAG,"This is a leather messenger bag from WildHorn. WildHorn is one of India's largest e-retail fashion accessory brands. We present to you WildHorn durable leather messenger bag. All our bags are handmade from only the best materials. This bag acts as the perfect accessory to complete your look and make you stand out at an. Featuring an elegant design, hand stitched, dyed and aged messenger bag is long-lasting, lightweight and a fine leather product. It shows your personality and style every time you use it. This smooth rich, supple, and luxurious leather bag comes in a classic design, smooth leather and fits all sizes. This bag has organized your everyday essentials. This messenger bag has been made out of top grain authentic leather and it's a natural thing where colour variation is never under control. If you are using the First time or have the least knowledge about pure leather then don't worry about its colour variation. Pure leather bags get more beautiful on aging. These are not PU which only has shine on its surface. PRODUCT colour may slightly vary due to photographic lighting sources or your monitor setting. Start your journey now. Use this bag as a messenger bag, shoulder bag or laptop bag. Suitable for your school, office, college, university, meeting, and business for everyday use. It also makes for a great present. This WildHorn casual style cowhide leather messenger bag features durable cotton fabric with rich leather, leather trim and an adjustable shoulder strap that can be slung comfortably across the body. This messenger bag has a main interior compartment with flap top closure for added security and a fully lined interior that includes zip pocket and slip pockets for organization. One rear zip pocket. The compartment has dedicated space for iPad, tablet, phone and other small accessories. NOTE: Images are for representation purpose only. Actual product colors may or may not vary due to picture quality."
DAHSHA Stylish Nylon Sling Cross Body Travel Bag for Business Office Messenger One Side Shoulder Carry Handbag Bag For Men & Women (35X18x25 CM-grey),694,https://amazon.in/DAHSHA-Multipurpose-Travel-Duffel-13X7x11-inch/dp/B07GCLJTZF,3.9 out of 5 stars,392,B07GCLJTZF,700 g,DAHSHA Enterprise,Horizontal Bag,1.00 1,N/A,N/A
Wildcraft 29.5 Ltrs Green Casual Backpack (11650-Green),999,https://amazon.in/Wildcraft-Green-Casual-Backpack-11650-Green/dp/B079DV66TY,4.1 out of 5 stars,355,B079DV66TY,400 g,Wildcraft,11650-Green,N/A,Casual Backpack,"Two compartments for better organisation, quick-grab haul loop, side pocket for carrying a bottle, padded back system for better back support, padded shoulder straps for comfort and ease of carrying."
Skybags Unisex Grey Jacqard 34L Laptop Bags,"1,149",https://amazon.in/Skybags-Unisex-Grey-Jacqard-Laptop/dp/B09ZV9SLBJ,3.7 out of 5 stars,42,B09ZV9SLBJ,620 g,"VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India",BPNETRCEGRY,N/A,Backpack,"Ideal for a working professional travelling to work by bus, train, ola/uber/cab etc. Laptop compatibility & professional looking backpack"
DAHSHA Stylish Nylon Sling Cross Body Travel Bag for Business Office Messenger One Side Shoulder Carry Handbag Bag For Men & Women (35X18x25 CM-grey),694,https://amazon.in/DAHSHA-Multipurpose-Travel-Duffel-13X7x11-inch/dp/B07GCLJTZF,3.9 out of 5 stars,392,B07GCLJTZF,700 g,DAHSHA Enterprise,Horizontal Bag,1.00 1,N/A,N/A
"Amazon Brand - Solimo Rain & Dust Cover for Backpack (30 Litres, Black)",209,https://amazon.in/Amazon-Brand-Solimo-Backpack-litres/dp/B07FQMN9VN,4.2 out of 5 stars,"8,468",B07FQMN9VN,99 g,Flab International Pvt. Ltd.,Sol_Lgge_116,1 count,Backpack cover,"Solimo Backpack cover is made from 100% waterproof material to provide all-round protection against rain. The cover is ideal for use during treks and everyday commuting, particularly in monsoon."
F Gear Colorado Navy Lmn yelw 39 Ltrs Laptop Backpack (3813),999,https://amazon.in/Gear-Colorado-Navy-Laptop-Backpack/dp/B097K6SPH7,4.2 out of 5 stars,100,B097K6SPH7,630 g,Uber Fashion Merchandise Pvt Ltd,3813,N/A,Laptop Backpack,F Gear presents gigantic laptop backpack blends style and functionality. It comes with substantial capacity to accommodate your laptop and several other essentials with ease. This bag does way more than just look good. It provides extra protection for all your valuable devices. The dimensions of the bag are - 34 x 22 x 52 with a capacity of 39 L. To describe it briefly here are the following points: 1. This backpack is made of polyester fabric and is treated to make it water-resistant. 2. This backpack comes with 2-main zippered compartment with an inside sleeve compatible for laptop. 3. This backpack has a front compartment with an organizer. 4. This backpack comes with one zippered front pocket & one quick access mesh zippered. 5. This backpack is equipped with thick padding with anti-sweat breathable air mesh & adjustable padded shoulder straps for extra comfort. 6. Apart from this it has world’s best Japanese brand YKK zippers and sliders. 7. This backpack has two mesh pockets on both sides. 8. Comes with the F Gear promise of quality and durability.
